ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,dc_upper,dc_lower,dc_mid,dc_width,dc_width_pct,breakout_up,breakout_down
688981.SH,2026-02-02,121.4,122.59,116.8,117.06,122.97,-5.91,-4.8061,596690.81,7104970.929,134.68,116.8,125.74000000000001,17.88000000000001,14.219818673453164,False,False
688981.SH,2026-02-03,118.69,118.84,113.46,116.03,117.06,-1.03,-0.8799,561769.52,6500024.016,134.68,113.46,124.07,21.220000000000013,17.103248166357712,False,False
688981.SH,2026-02-04,114.5,114.99,113.15,114.84,116.03,-1.19,-1.0256,351393.47,4005035.637,134.68,113.15,123.915,21.53,17.37481338013961,False,False
688981.SH,2026-02-05,112.99,114.5,110.39,111.8,114.84,-3.04,-2.6472,446447.65,4982588.635,130.82,110.39,120.60499999999999,20.429999999999993,16.939596202479162,False,False
688981.SH,2026-02-06,110.14,114.6,110.14,112.7,111.8,0.9,0.805,408226.91,4597784.625,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-09,114.8,115.07,113.7,114.93,112.7,2.23,1.9787,321018.1,3676020.764,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-10,115.2,116.9,114.85,116.2,114.93,1.27,1.105,340436.51,3949080.646,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-11,114.0,116.14,113.5,115.01,116.2,-1.19,-1.0241,345336.73,3955491.126,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-12,115.55,117.18,115.11,116.58,115.01,1.57,1.3651,333622.54,3880738.366,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-13,116.23,117.98,115.56,116.93,116.58,0.35,0.3002,343687.4,4020570.46,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-24,118.03,118.18,115.62,115.82,116.93,-1.11,-0.9493,276155.68,3217730.655,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-25,117.0,117.5,115.85,116.13,115.82,0.31,0.2677,275528.56,3214693.555,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-26,116.13,117.23,114.29,116.65,116.13,0.52,0.4478,327021.83,3787597.479,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-27,115.03,115.87,114.32,115.0,116.65,-1.65,-1.4145,279308.78,3213704.146,128.99,110.14,119.565,18.85000000000001,15.76548320996948,False,False
688981.SH,2026-03-02,112.88,114.2,112.3,112.53,115.0,-2.47,-2.1478,349784.75,3952733.063,128.99,110.14,119.565,18.85000000000001,15.76548320996948,False,False
688981.SH,2026-03-03,113.23,114.75,107.69,108.31,112.53,-4.22,-3.7501,540987.0,5976584.863,128.99,107.69,118.34,21.30000000000001,17.99898597262127,False,False
688981.SH,2026-03-04,107.32,109.7,106.12,106.69,108.31,-1.62,-1.4957,322749.58,3470640.119,128.99,106.12,117.555,22.870000000000005,19.454723320998685,False,False
688981.SH,2026-03-05,108.6,109.26,106.09,106.9,106.69,0.21,0.1968,353531.81,3803229.096,127.81,106.09,116.95,21.72,18.57203933304831,False,False
688981.SH,2026-03-06,107.0,108.34,106.17,106.5,106.9,-0.4,-0.3742,340486.16,3648254.394,124.94,106.09,115.515,18.849999999999994,16.318227070077473,False,False
688981.SH,2026-03-09,103.97,105.79,101.63,105.14,106.5,-1.36,-1.277,393559.67,4065897.45,122.59,101.63,112.11,20.960000000000008,18.695923646418702,False,False
688981.SH,2026-03-10,106.9,107.75,105.7,107.28,105.14,2.14,2.0354,318321.9,3400130.457,118.84,101.63,110.235,17.210000000000008,15.612101419694296,False,False
688981.SH,2026-03-11,107.23,108.8,107.0,107.1,107.28,-0.18,-0.1678,279982.97,3016803.608,118.18,101.63,109.905,16.55000000000001,15.058459578727094,False,False
688981.SH,2026-03-12,107.0,108.55,104.95,106.01,107.1,-1.09,-1.0177,288819.77,3075181.737,118.18,101.63,109.905,16.55000000000001,15.058459578727094,False,False
